comment,class
"Как мы можем знать, что такое смерть, когда не знаем, что такое жизнь?",1
"Смерть создаёт предвзятые мнения в пользу умерших.",1
"Жизнь и смерть ходят рядом, но ничего не знают друг о друге.",1
"Говорить о смерти со знанием дела могут только покойники.",1
"Кто умер, но не забыт, тот бессмертен.",1
"Ни на солнце, ни на смерть нельзя смотреть в упор.",1
"Когда начинают бояться смерти, понимают что такое жизнь.",1
"Когда я умер, не было никого, кто бы это опроверг.",1
"Первое условие бессмертия — смерть.",1
"Смерть — это поза умершего человека.",1
"В моей смерти прошу винить мою жизнь.",1
"Только смерть превращает жизнь человека в судьбу.",1
"Смерть — великий миротворец.",1
"Смерть раньше 150 лет — насильственная смерть.",1
"Существует право отнять жизнь, но нет права отнять смерть.",1
"Каждый боится смерти, но никто не боится быть мёртвым.",1
"Перестать действовать — это и значит умереть.",1
"Смертью как опытом поделиться невозможно.",1
"Придёт смерть, и у неё будут твои глаза.",1
"Смерть — это счастье для умирающего человека.",1
"Умереть — значит присоединиться к большинству.",1
"Смерть для того поставлена в конце жизни, чтобы удобнее к ней приготовляться.",1
"Смерть одного человека — это смерть; смерть миллионов — статистика.",1
"Смерть есть то, после чего ничто не интересно.",1
"Смерть — единственная вещь, которая больше слова.",1
"Смерть — это реальность, присутствующая постоянно.",1
"Если бы смерть была благом — боги не были бы бессмертны.",1
"Мёртвые срама не имут.",1
"Бояться смерти — значит думать, что знаешь то, чего не знаешь.",1
"Смерть — не самое большое несчастье.",1
"Страх смерти обратно пропорционален хорошей жизни.",1
"Неизбежны только смерть и налоги.",1
"Человек умирает тогда, когда перестаёт меняться.",1
"Что такое жизнь? Разговоры о смерти.",1
"Смерть стоит того, чтобы жить.",1
"Я научился смотреть на смерть как на долг.",1
"Смерть для человека — ничто.",1
"В беседах с глазу на глаз между близкими друзьями мудрейшие люди часто высказывают слабые суждения.",2
"Все мы испытываем блаженство вдвойне, когда можем разделить его с друзьями.",2
"В бедности настоящие друзья — надежное прибежище.",2
"Друг мне тот, кому всё могу говорить.",2
"В мире мало дружбы.",2
"Не судите о человеке по его друзьям.",2
"Глаза дружбы редко ошибаются.",2
"Друг в беде не бросит.",2
"Друг — это тот, кто ещё не стал врагом.",2
"Беззаветная дружба возможна только между равными доходами.",2
"Бескорыстная дружба возможна только между равными.",2
"Что такое дружба? Иллюзия.",2
"Важные друзья — для важных дел.",2
"Безумен, кто в богатстве забудет друга.",2
"Дружба — не услуга.",2
"Друзья должны быть важны не титулом, а человеком.",2
"Дружба объединяет сильнее, чем любовь.",2
"Всё должно быть общим между друзьями.",2
"Друг познаётся в неверном деле.",2
"Дружбу приобретают, интересуясь другими.",2
"Верный друг познаётся в беде.",2
"Дружба часто оканчивается любовью.",2
"Не ослепляйся дружбой.",2
"Дружба требует времени.",2
"Для преданного друга нельзя сделать слишком много.",2
"Выявит друга время.",2
"В дружбе нет расчёта.",2
"Настоящий друг — не матрац, но положиться можно.",2
"Искренность — вот дружба.",2
"Без товарища счастье не радует.",2
"Без дружбы общение не имеет ценности.",2
"Дружба важнее денег.",2
"Друзья останутся друзьями.",2
"В дружбе нет ни должников, ни благодетелей.",2
"Мудрый друг не бросит друга.",2
"Кто себе друзей не ищет — враг себе.",2
"В дружбе и любви люди счастливы, не зная правды.",2
"Друзья — великие грабители времени.",2
"В радости друзья узнают нас.",2
"Истинная дружба — редкость.",2
"Друг познаётся временем.",2
"В дружбе нет расчётов.",2
"Настоящая дружба — это возможность молчать вместе.",2
"Брат может не быть другом, но друг — брат.",2
"Выбирай друга не спеша.",2
"Лучше быть одному, чем с кем попало дружить.",2
"Величайшее благо — дружба.",2
"Без истинной дружбы жизнь — ничто.",2
"Женщина может стать другом после любви.",2
"Только в молодости есть дружба.",2
"Быть может, чтобы оценить дружбу, нужно пережить любовь.",2
"Истинная дружба требует денег в критических случаях.",2
"Где слабеет дружба — усиливается вежливость.",2
"В дружбе и любви рано или поздно счёты.",2
"Настоящая дружба — это любовь без постели.",2
